Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=277a65d1fa644a27,Security Service_SoC Manager (계약직),IBM 3.9 서울,,"apparent security breaches •Play a significant role in long- term SOC strategy and planning, including initiatives geared..."
https://kr.indeed.com/viewjob?jk=c849c4f645e67a0b,"Director, Software Engineering",Nike 4.2 서울,,"product lifecycle process to help plan for near, mid and long term capability delivery and facilitate trade off discussions..."
https://kr.indeed.com/viewjob?jk=2d214050c0c168cc,"Sales Business Development Manager, Stra...",Cisco Systems 4.1 서울,,winning capability within Cisco by contributing... long- term success of Cisco through the sharing of methodologies...
https://kr.indeed.com/viewjob?jk=7833502ab849fe93,Public Sector Education Account Executiv...,Amazon Web Services Korea LLC 서울,,prospects in order to build long- term business opportunity. You’ll also work... Develop long- term strategic partnerships...
https://kr.indeed.com/viewjob?jk=f9e94595463d885e,SAP CS consultant,Kryptos Technologies limited 대한민국,,end Rental solutions & designed processes for Long term rental management We are also looking for people with integration...
https://kr.indeed.com/viewjob?jk=f4750c486cc78516,Application Engineer Consultant - HAV,Mentor Graphics (Korea) LLC 4.0 경기도 성남,,build and improve customer relationships to ensure long term customer satisfaction. Works closely with area sales management...
https://kr.indeed.com/viewjob?jk=de0d21966a3ee254,"Field Sales Representative, Enterprise,...",Google 4.3 서울,,"relationships with enterprise customers. Influence long- term strategic direction, and serve as a business partner. Negotiate..."
https://kr.indeed.com/viewjob?jk=94d58652d269345e,KEPCO English Teacher / Part-time / (Naj...,SLI(Solution for Learning Innovation) 대한민국,,Starting date : 2nd of November 2020 ~ onwards (3months each term) * Students : Adults small group lesson (Company employee...
https://kr.indeed.com/viewjob?jk=462486faa6c80571,Media Sales Director - Korea,Taboola 서울,,Work closely with our Account Managers to manage long- term relationships with our clients. Convey feedback from clients...
https://kr.indeed.com/viewjob?jk=73c248d441758735,Edge Services Sales Rep - Amazon Web Ser...,Amazon Web Services Korea LLC 서울,,forecast and various business reports. · Develop long- term strategic relationships with key accounts. · Ensure customer...
https://kr.indeed.com/viewjob?jk=e0b4483b280099e5,Executive/Senior Associate – Fund Manage...,Macquarie Group Limited 서울,,principal investment. Job no: MAM-954599 Work type: Fixed term Location: Seoul Category: Mid-level Group: Macquarie Asset...
